EDT,Max TemperatureF,Mean TemperatureF,Min TemperatureF,Max Dew PointF,MeanDew PointF,Min DewpointF,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressureIn, Mean Sea Level PressureIn, Min Sea Level PressureIn, Max VisibilityMiles, Mean VisibilityMiles, Min VisibilityMiles, Max Wind SpeedMPH, Mean Wind SpeedMPH, Max Gust SpeedMPH,PrecipitationIn, CloudCover, Events, WindDirDegrees
2016-5-14,76,65,54,59,51,45,93,63,33,29.83,29.75,29.66,10,10,6,36,9,47,0.10,4,Rain,244
2016-5-15,59,53,46,42,31,21,61,43,24,30.06,29.89,29.75,10,10,10,31,17,39,0.00,4,,289
2016-5-16,67,55,42,38,29,23,62,43,24,30.20,30.14,30.08,10,10,10,26,15,36,0.00,2,,270
2016-5-17,62,57,52,50,47,39,89,72,55,30.25,30.19,30.14,10,9,3,15,5,18,0.12,7,Rain,232
2016-5-18,69,61,52,49,44,39,89,61,33,30.16,30.12,30.07,10,9,6,17,7,23,T,7,Rain,44
2016-5-19,73,64,54,48,43,35,83,55,27,30.18,30.11,30.07,10,10,10,14,5,17,T,5,Rain,274
2016-5-20,76,65,53,47,40,35,72,48,23,30.28,30.22,30.18,10,10,10,13,5,18,0.00,5,,158
2016-5-21,62,58,53,53,50,45,93,78,62,30.19,30.00,29.86,10,6,2,20,10,27,1.96,8,Rain,54
2016-5-22,66,59,52,56,50,46,89,71,52,29.91,29.85,29.82,10,10,7,14,7,21,0.11,8,Rain,15
2016-5-23,76,66,55,57,54,52,93,68,43,29.94,29.90,29.86,10,9,5,28,5,33,0.08,6,Rain-Thunderstorm,127
2016-5-24,83,70,56,56,50,41,93,58,23,30.02,29.93,29.88,10,10,10,20,9,25,0.03,6,Rain,256
2016-5-25,88,73,57,54,48,38,75,46,17,30.12,30.09,30.03,10,10,8,18,8,28,0.00,3,,245
2016-5-26,90,77,63,59,55,46,73,48,23,30.14,30.08,30.02,10,10,10,16,7,22,0.00,5,,221
2016-5-27,90,80,69,66,64,61,78,60,41,30.10,30.06,30.02,10,10,10,17,9,24,0.00,4,,210
2016-5-28,90,79,68,66,62,58,73,59,44,30.16,30.13,30.10,10,10,10,18,9,22,0.00,3,,206
2016-5-29,87,77,66,71,64,49,93,60,27,30.17,30.11,30.06,10,8,4,16,7,21,0.59,6,Rain,206
2016-5-30,79,74,69,70,68,65,97,80,62,30.06,30.00,29.95,10,8,1,13,6,19,0.92,8,Rain,228
2016-5-31,88,79,70,67,61,49,90,58,26,29.99,29.95,29.92,10,10,10,17,7,22,0.00,5,,225
2016-6-1,90,79,67,67,64,54,90,61,31,30.12,30.05,29.99,10,10,7,16,6,20,0.00,5,,123
2016-6-2,84,73,62,64,61,58,90,71,51,30.14,30.10,30.02,10,10,7,14,7,19,0.00,6,,90
2016-6-3,76,71,65,66,64,62,93,83,73,30.08,30.05,30.01,10,9,4,10,5,12,0.12,8,Rain,118
2016-6-4,83,75,67,66,64,57,93,74,54,30.05,30.00,29.91,10,9,6,14,6,18,0.00,7,,203
2016-6-5,84,76,68,71,66,59,90,77,63,29.91,29.75,29.63,10,9,1,39,10,52,0.44,7,Rain-Thunderstorm,196
2016-6-6,86,77,68,66,61,56,90,64,37,29.73,29.70,29.65,10,10,10,20,12,25,0.00,4,,234
2016-6-7,83,75,67,66,59,45,84,61,38,29.65,29.56,29.49,10,10,7,29,9,38,T,4,Rain-Thunderstorm,248
2016-6-8,73,66,58,54,46,38,60,49,37,29.88,29.71,29.60,10,9,0,44,15,59,0.13,4,Rain-Thunderstorm,282
2016-6-9,77,65,53,41,37,32,64,44,23,29.96,29.90,29.84,10,10,10,26,13,34,0.00,2,,302
2016-6-10,78,69,60,48,38,32,56,38,19,30.07,30.03,29.97,10,10,10,22,10,31,0.00,3,,305
2016-6-11,92,76,59,67,60,49,72,58,43,30.07,29.91,29.77,10,10,10,24,10,29,0.00,5,,229
2016-6-12,90,78,66,65,50,28,62,37,11,29.83,29.72,29.66,10,10,10,32,17,42,0.00,3,,290
2016-6-13,78,70,61,49,45,43,55,43,31,29.94,29.87,29.81,10,10,10,24,12,32,0.00,5,,321
2016-6-14,78,70,62,49,43,37,52,39,25,30.01,29.95,29.87,10,10,10,20,10,24,0.00,4,,326
2016-6-15,80,71,61,60,55,50,78,59,39,30.02,29.95,29.86,10,10,10,16,7,22,0.01,6,Rain,224
2016-6-16,70,67,64,64,61,55,87,78,68,29.85,29.78,29.73,10,8,3,14,5,16,0.38,8,Rain-Thunderstorm,73
2016-6-17,84,74,63,59,54,48,78,58,37,30.13,29.92,29.78,10,10,10,20,8,25,0.00,6,,90
2016-6-18,85,72,59,55,52,48,80,56,32,30.30,30.22,30.13,10,10,10,15,5,17,0.00,2,,210
2016-6-19,91,78,65,59,55,50,78,52,26,30.33,30.28,30.20,10,10,10,18,8,25,0.00,4,,230
2016-6-20,91,79,66,64,58,52,87,57,27,30.22,30.10,29.93,10,10,10,20,7,24,0.00,3,,204
2016-6-21,88,80,72,69,64,58,84,64,43,29.90,29.83,29.77,10,10,10,18,10,23,T,6,,234
2016-6-22,87,79,71,67,61,46,84,55,25,29.95,29.85,29.81,10,9,7,23,11,32,0.00,6,,255
2016-6-23,85,78,70,70,65,58,87,68,48,29.94,29.86,29.80,10,9,4,15,8,26,0.16,7,Rain,238
2016-6-24,82,75,67,69,65,62,93,74,54,30.10,29.99,29.88,10,9,6,18,9,23,0.00,7,,87
2016-6-25,88,77,65,64,59,53,93,63,32,30.21,30.16,30.11,10,9,6,14,7,17,0.00,3,,79
2016-6-26,87,76,64,62,58,55,87,64,40,30.24,30.20,30.13,10,10,10,15,6,21,0.00,4,,193
2016-6-27,86,75,64,70,64,59,93,69,44,30.16,30.05,29.97,10,9,3,15,8,23,0.56,6,Rain,181
2016-6-28,84,78,71,73,71,69,94,82,69,29.98,29.93,29.85,10,8,2,17,6,24,0.07,7,Rain,175
2016-6-29,85,77,69,72,61,52,90,63,36,29.98,29.90,29.86,10,10,10,17,9,25,T,4,Rain,327
2016-6-30,86,76,66,62,57,52,68,50,32,30.05,30.02,29.99,10,10,10,17,8,21,0.00,2,,243
2016-7-1,87,81,75,71,68,62,90,76,61,30.04,29.94,29.86,10,10,10,21,7,25,T,6,Rain-Thunderstorm,178
